Gammarus_size,Food_quality,Replicate,Feeding,Excretion,Assimilationefficiency
Small,Low,1,0.628,0.346500000000001,44.8248407643311
Small,Low,2,0.442,0.261666666666666,40.7993966817498
Small,Low,3,0.268,0.123,54.104
Small,Low,4,0.213,0.240000000000000,-12.6760563380282
Small,Low,5,0.291,0.260666666666667,10.4238258877433
Small,Low,6,0.574,0.242333333333334,57.7816492450638
Small,Low,7,0.5205,0.369000000000001,29.1066282420747
Small,Low,8,0.323666666666667,0.212666666666666,34.294541709578000
Small,Low,9,0.325,0.202333333333334,37.7435897435895
Small,Low,10,0.182,0.137999999999999,24.1758241758247
Small,Low,11,0.311,0.253000000000001,18.6495176848871
Small,Low,12,0.169333333333333,0.101333333333335,40.157480314959500
Small,Low,13,0.220,0.135999999999999,38.1818181818186
Small,Low,14,0.240333333333333,0.219333333333334,8.737864077669500
Small,Low,15,0.281,0.209000000000001,25.6227758007114
Small,Low,16,0.337,0.241333333333332,28.3877349159252
Small,Low,18,0.539,0.358666666666666,33.457019171305
Small,Low,19,0.2365,0.2125,10.1480
Small,Low,20,0.374,0.216000000000001,42.2459893048126
Small,Low,25,0.15,0.0910000000000005,39.333333333333
Small,Intermediate,2,0.426,0.350000000000001,17.8403755868542
Small,Intermediate,3,0.389,0.329666666666665,15.2527849185951
Small,Intermediate,4,0.572,0.518,9.441
Small,Intermediate,5,0.557,0.386,30.700
Small,Intermediate,6,0.499,0.432,13.427
Small,Intermediate,7,0.469,0.379666666666666,19.0476190476192
Small,Intermediate,8,0.452666666666667,0.374333333333333,17.304860088365400
Small,Intermediate,9,0.552333333333333,0.361,34.6409173204586
Small,Intermediate,10,0.5485,0.330500000000001,39.7447584320873
Small,Intermediate,11,0.515,0.539999999999999,-4.85436893203864
Small,Intermediate,12,0.365,0.324666666666668,11.0502283105019
Small,Intermediate,13,0.615,0.379499999999999,38.2926829268294
Small,Intermediate,14,0.416333333333333,0.262,37.0696557245796
Small,Intermediate,15,0.691,0.544,21.274
Small,Intermediate,16,0.415,0.343333333333332,17.2690763052212
Small,Intermediate,17,0.525,0.412000000000001,21.5238095238093
Small,Intermediate,18,0.541,0.331666666666666,38.693776956254
Small,Intermediate,19,0.569666666666667,0.339333333333334,40.433001755412400
Small,Intermediate,20,0.499,0.371,25.651
Small,Intermediate,22,0.429,0.259333333333333,39.5493395493396
Small,Intermediate,24,0.7655,0.570000000000001,25.5388634879163
Small,Intermediate,25,0.289,0.2035,29.5847750865052
Small,Intermediate,26,0.59,0.439666666666667,25.4802259887005
Small,Intermediate,27,0.640666666666667,0.463000000000001,27.731529656607600
Small,Intermediate,30,0.544,0.355499999999999,34.6507352941178
Small,High,1,0.667,0.458333333333333,31.2843578210895
Small,High,2,0.648,0.502666666666667,22.4279835390946
Small,High,3,0.328,0.301000000000000,8.23170731707317
Small,High,4,0.595,0.503,15.462
Small,High,5,0.554,0.513666666666667,7.28038507821895
Small,High,6,0.901,0.765666666666667,15.0203477617462
Small,High,7,0.396,0.384,3.030
Small,High,8,0.637,0.436333333333333,31.5018315018316
Small,High,9,0.615,0.460666666666667,25.0948509485094
Small,High,11,0.6915,0.529000000000001,23.4996384671004
Small,High,13,0.409,0.343333333333334,16.0554197229012
Small,High,15,0.672,0.519000000000001,22.767857142857
Small,High,16,0.474,0.342666666666667,27.7074542897327
Small,High,17,0.699,0.506666666666666,27.5154983309491
Small,High,18,0.898,0.656666666666668,26.874536005939
Small,High,19,0.666,0.499500000000002,24.9999999999997
Small,High,20,0.681,0.505000000000000,25.8443465491924
Small,High,21,0.538,0.381333333333333,29.1201982651797
Small,High,23,0.577,0.414333333333333,28.1917966493357
Small,High,24,0.383,0.214500000000001,43.9947780678849
Small,High,27,0.198,0.192,3.030
Small,High,28,0.3185,0.236500000000001,25.7456828885397
Small,High,29,0.443,0.410999999999999,7.22347629796862
Large,Low,1,0.424,0.21,50.4716981132075
Large,Low,2,0.324,0.181666666666666,43.9300411522636
Large,Low,4,0.304333333333333,0.159,47.7546549835706
Large,Low,5,0.390,0.148999999999999,61.7948717948721
Large,Low,6,0.321,0.186333333333333,41.9522326064383
Large,Low,7,0.373666666666667,0.243666666666666,34.790365744870900
Large,Low,8,0.284,0.187333333333333,34.0375586854461
Large,Low,9,0.105,0.0605000000000004,42.380952380952
Large,Low,10,0.104333333333333,0.0760000000000001,27.1565495207664
Large,Low,11,0.177,0.143,19.209
Large,Low,12,0.113333333333333,0.0769999999999992,32.0588235294123
Large,Low,13,0.311,0.249666666666666,19.7213290460881
Large,Low,14,0.212,0.162,23.585
Large,Low,15,0.172,0.152500000000001,11.337209302325
Large,Low,16,0.330,0.233666666666666,29.1919191919194
Large,Low,17,0.092,0.0814999999999983,11.4130434782627
Large,Low,18,0.190,0.141666666666666,25.4385964912284
Large,Low,19,0.1975,0.19,3.79746835443038
Large,Low,20,0.473333333333333,0.267333333333334,43.521126760563200
Large,Low,21,0.508,0.292666666666668,42.3884514435693
Large,Low,22,0.261666666666667,0.210666666666667,19.490445859872600
Large,Low,23,0.252,0.204333333333333,18.915343915344
Large,Low,24,0.2295,0.132000000000001,42.4836601307185
Large,Low,25,0.442,0.109000000000001,75.3393665158369
Large,Low,26,0.279,0.128500000000001,53.9426523297487
Large,Low,27,0.291333333333333,0.256000000000000,12.128146453089100
Large,Low,28,0.338,0.197333333333334,41.6173570019722
Large,Low,29,0.235,0.186999999999999,20.425531914894
Large,Low,30,0.329,0.261499999999998,20.5167173252286
Large,Intermediate,1,0.538,0.364666666666668,32.2180916976454
Large,Intermediate,2,0.436666666666667,0.427333333333334,2.137404580152590
Large,Intermediate,3,0.359,0.417666666666667,-16.3416898792944
Large,Intermediate,4,0.4385,0.5015,-14.3672
Large,Intermediate,5,0.752,0.579666666666666,22.9166666666668
Large,Intermediate,6,0.688,0.642666666666666,6.5891472868218
Large,Intermediate,7,0.3255,0.252999999999999,22.2734254992323
Large,Intermediate,8,0.734,0.621,15.395
Large,Intermediate,10,0.464,0.451333333333333,2.72988505747134
Large,Intermediate,11,0.513,0.489000000000001,4.67836257309922
Large,Intermediate,12,0.223,0.382000000000001,-71.3004484304937
Large,Intermediate,14,0.649333333333333,0.451666666666666,30.441478439425100
Large,Intermediate,15,0.448,0.344666666666667,23.0654761904761
Large,Intermediate,16,0.288,0.149666666666667,48.0324074074073
Large,Intermediate,17,0.511,0.439,14.090
Large,Intermediate,19,0.323,0.302999999999999,6.19195046439659
Large,Intermediate,20,0.5655,0.470000000000001,16.8877099911581
Large,Intermediate,21,0.608,0.390666666666666,35.7456140350878
Large,Intermediate,22,0.437,0.331333333333332,24.1800152555304
Large,Intermediate,23,0.648,0.5205,19.6759259259259
Large,Intermediate,24,0.386666666666667,0.351666666666666,9.051724137931290
Large,Intermediate,25,0.756333333333333,0.568666666666668,24.812692816218400
Large,Intermediate,26,0.438,0.326999999999999,25.3424657534249
Large,Intermediate,27,0.627,0.488,22.169
Large,Intermediate,28,0.661,0.442666666666667,33.0307614725163
Large,Intermediate,29,0.438666666666667,0.511500000000001,-16.603343465045700
Large,Intermediate,30,0.488,0.365333333333333,25.136612021858
Large,High,1,0.9625,0.6435,33.1429
Large,High,2,0.825,0.742666666666667,9.97979797979794
Large,High,3,0.618,0.470333333333334,23.8942826321466
Large,High,4,0.931,0.595000000000002,36.0902255639096
Large,High,5,0.764,0.578666666666667,24.2582897033158
Large,High,6,0.806,0.555333333333334,31.1000827129859
Large,High,7,0.746,0.532499999999999,28.6193029490618
Large,High,8,0.892666666666667,0.542666666666667,39.208364451082900
Large,High,9,0.729,0.486333333333334,33.2876085962505
Large,High,11,0.749,0.535666666666666,28.4824210057856
Large,High,12,0.331,0.252666666666667,23.6656596173211
Large,High,13,1.053,0.743000000000001,29.4396961063627
Large,High,14,0.392,0.258666666666666,34.013605442177
Large,High,16,0.858,0.6035,29.6620046620047
Large,High,17,0.657,0.508,22.679
Large,High,18,0.370,0.344666666666666,6.84684684684703
Large,High,19,1.028,0.683999999999999,33.4630350194554
Large,High,20,0.769,0.437499999999999,43.107932379714
Large,High,21,0.734,0.518333333333334,29.3823796548591
Large,High,22,0.704,0.526333333333333,25.2367424242425
Large,High,23,0.765,0.476666666666667,37.6906318082788
Large,High,24,0.546,0.483333333333334,11.4774114774114
Large,High,25,0.491,0.4485,8.65580448065173
Large,High,26,0.676,0.572,15.385
Large,High,27,0.94,0.756333333333334,19.5390070921985
Large,High,28,0.728,0.577666666666666,20.6501831501832
Large,High,29,0.748,0.646,13.636
Large,High,30,0.7295,0.528,27.6216586703221
