Species,Size,Treatment,Replicate,C16:0,C16:1n-7,C18:1n-9,C18:2n-6,C18:3n-3,C20:4n-6,C20:5n-3,SAFA,MUFA,PUFA,n3,n6,Sum
Fagus,NA,Low,1,3.416912855,0.305975083,0.464664788,0.774173391,4.549967645,0,0,4.079595797,0.804267829,5.547167853,4.772994462,0.774173391,10.431031479
Fagus,NA,Low,2,4.325101577,0.281102747,0.386141473,0.858664003,6.434967037,0,0,5.040170280,0.703669488,7.537271878,6.678607875,0.858664003,13.281111646
Fagus,NA,Low,3,2.883112847,0.272784176,0.515917486,0.740375754,4.426448565,0,0,3.464851438,0.820087603,5.166824319,4.426448565,0.740375754,9.451763360
Fagus,NA,Intermediate,1,4.831780926,0.347629531,0.655339938,0.869268356,7.953250166,0,0,5.628432221,1.053345411,9.121008044,8.251739688,0.869268356,15.802785676
Fagus,NA,Intermediate,2,3.581192083,0.274172764,0.346597407,0.711676983,5.471548814,0,0,4.193880752,0.650741524,6.39910953,5.687432547,0.711676983,11.243731806
Fagus,NA,Intermediate,3,5.589350035,0.302181914,0.46182179,0.846312038,9.965104838,0,0,6.321460462,0.827234804,10.811416876,9.965104838,0.846312038,17.960112142
Fagus,NA,High,1,4.25146035,0.18900541,0.344300118,0.677234944,8.456365637,0,0,4.95924174,0.5789059,9.255864436,8.578629492,0.677234944,14.794012076
Fagus,NA,High,2,6.736204715,0.234650446,0.648373984,0.324186992,0.486280488,0,0,8.171995806,0.949831057,13.70456425,13.380377258,0.324186992,22.826391113
Fagus,NA,High,3,7.685364902,0.259780636,0.438832627,1.478565751,15.56755714,0,0,8.608566492,0.786515406,17.046122891,15.56755714,1.478565751,26.441204789
Gammarus,Large,High,1,85.27277317,24.23097298,69.4119161,18.23551999,85.56098481,1.692220984,1.921528843,113.893045799,104.991338374,115.72119392,93.292399046,22.428794874,334.605578093
Gammarus,Large,High,2,53.98594537,6.072220965,19.1020891,8.169452567,51.92919737,1.754950091,2.013052407,87.468520519,28.155925309,67.416421641,56.680996987,10.735424654,183.040867469
Gammarus,Large,High,3,41.05159231,6.588455477,18.34454465,10.0420319,40.98066147,1.537543706,1.623655965,65.628072881,26.677976894,57.224868302,44.518462231,12.706406071,149.530918077
Gammarus,Large,High,4,26.1306618,2.910288025,10.01033703,3.008681976,16.87372363,1.24922877,1.102008702,45.766923455,14.657339155,23.28040917,18.568757526,4.711651644,83.70467178
Gammarus,Large,High,5,54.67960991,9.162631119,30.87771747,0,49.58296657,2.16938189,2.311185876,80.571026084,45.488225142,59.033441642,55.004672113,4.028769529,185.092692868
Gammarus,Large,Intermediate,1,43.56135108,5.258155311,29.83462968,5.770332691,46.45679608,0.970733964,1.20860556,67.146377985,39.679604844,58.375317497,50.719444849,7.655872648,165.201300326
Gammarus,Large,Intermediate,2,35.51163684,4.650721844,13.98075592,4.590775946,22.51963255,0.875391759,1.11312833,52.503880234,21.392634466,31.135955322,24.912605839,6.223349483,105.032470022
Gammarus,Large,Intermediate,3,30.60182636,2.963515862,12.42551317,3.42167926,14.4744367,1.489845005,1.36090104,53.462859031,17.657033141,21.969472209,16.562797657,5.406674552,93.089364381
Gammarus,Large,Intermediate,4,40.31447114,5.240077913,21.35787264,6.22003658,34.26942296,1.292678496,1.300461033,63.868412664,29.728088456,46.268621299,37.626754297,8.641867002,139.865122419
Gammarus,Large,Intermediate,5,56.91362537,6.439722262,21.54460963,8.157295135,52.93140469,1.719161143,0,90.050514545,31.851883633,66.677694445,55.655945107,11.021749338,188.580092623
Gammarus,Large,Low,1,18.09875207,1.36539603,2.865787068,1.347498652,3.993181121,0.748628409,0.798076168,30.376269808,5.665448333,7.519495385,5.154516219,2.364979166,43.561213526
Gammarus,Large,Low,2,16.28592136,0.774922026,4.566577147,1.184484573,3.443464715,1.256109189,1.024944891,36.534933045,6.113081851,7.3680538,4.711687016,2.656366784,50.016068696
