Food_quality,Run,Leaf_weight,Bacterial_operon_copies,Bacterial_operon_copies_per_mg_leaf
Low,1,18.55,401442706.6,21641116.26
Low,1,12.36,30820208.18,2493544.351
Low,1,10.52,34306091.79,3261035.341
Intermediate,1,12.24,1099154998,89800244.97
Intermediate,1,13.09,812315829.6,62056213.11
Intermediate,1,11.31,858044512.5,75866004.64
High,1,9.1,576515182.5,63353316.76
High,1,11.28,657185069,58261087.68
Low,2,7.81,38186242.19,4889403.609
Low,2,11.36,18692572.49,1645472.931
Low,2,8.78,24174344.08,2753342.15
Intermediate,2,9.33,379144311.3,40637118.03
Intermediate,2,9.65,635638101.1,65869233.28
Intermediate,2,9.21,626621316.4,68037059.33
High,2,9.76,961939756,98559401.22
High,2,7.07,1114971320,157704571.4
High,2,6.86,577889595.1,84240465.76
Low,3,11.24,38277278.22,3405451.799
Low,3,17.04,260883574.6,15310068.93
Low,3,12.19,48916575.26,4012844.566
Intermediate,3,9.22,1329808279,144230832.8
Intermediate,3,13.46,2218840873,164847018.8
Intermediate,3,14.65,395748078.7,27013520.73
High,3,10.56,2213563736,209617778
High,3,13.45,978107878.7,72721775.37
High,3,18.98,1139123553,60017047.05
Low,4,20.75,270370079.6,13029883.36
Low,4,9.75,54579034.3,5597849.672
Low,4,13.24,57377615.59,4333656.767
Intermediate,4,9.5,763550272,80373712.84
Intermediate,4,19.29,992182389,51435064.23
Intermediate,4,11.71,978107878.7,83527572.9
High,4,14.37,418026406.6,29090216.18
High,4,15.26,463096119.5,30347058.95
High,4,15.11,1320342655,87382042.01
